id,key,value,type
21442033,ele,6,regular
21442033,name,Honolulu,regular
21442033,is_in,"USA, Hawaii",regular
21442033,place,city,regular
21442033,source,Landsat,regular
21442033,capital,4,regular
21442033,de,Honolulu,name
21442033,en,Honolulu,name
21442033,ja,ホノルル,name
21442033,lt,Honolulu,name
21442033,pl,Honolulu,name
21442033,ru,Гонолулу,name
21442033,uk,Гонолулу,name
21442033,zh,檀香山市,name
21442033,is_state,Hawaii,regular
21442033,wikidata,Q18094,regular
21442033,wikipedia,en:Honolulu,regular
21442033,population,390738,regular
21442033,ocean,Pacific,is_in
21442033,country,USA,is_in
21442033,state_capital,yes,regular
21442033,date,2010,population
21442033,iso_3166_2,US-HI,is_in
21442033,country_code,US,is_in
88542613,created_by,JOSM,regular
88542617,created_by,JOSM,regular
88542620,created_by,JOSM,regular
88542634,created_by,JOSM,regular
88542637,created_by,JOSM,regular
88542640,created_by,JOSM,regular
88542641,created_by,JOSM,regular
88542642,created_by,JOSM,regular
88542644,created_by,JOSM,regular
88542649,created_by,JOSM,regular
88542652,created_by,JOSM,regular
88542669,created_by,JOSM,regular
88542672,created_by,JOSM,regular
88542673,created_by,JOSM,regular
88542768,created_by,JOSM,regular
88542788,created_by,JOSM,regular
91399689,ele,1227,regular
91399689,name,Kaʻala,regular
91399689,natural,peak,regular
110500666,highway,traffic_signals,regular
110500783,source,Bing,regular
110500783,highway,turning_circle,regular
110501880,highway,traffic_signals,regular
110501880,traffic_signals,signal,regular
110501930,ref,25A,regular
110501930,highway,motorway_junction,regular
110501946,highway,turning_circle,regular
110503130,highway,traffic_signals,regular
110503130,traffic_signals,signal,regular
110503888,ref,5,regular
110503888,highway,motorway_junction,regular
110504047,highway,turning_circle,regular
110507123,highway,traffic_signals,regular
110508805,ref,7,regular
110509212,highway,turning_circle,regular
110510969,highway,turning_circle,regular
110514398,ref,1A,regular
110514398,highway,motorway_junction,regular
110517473,highway,turning_circle,regular
110517572,highway,turning_circle,regular
110519187,highway,traffic_signals,regular
110519896,ref,8C,regular
110519896,highway,motorway_junction,regular
110520419,barrier,gate,regular
110522908,highway,turning_circle,regular
110524063,barrier,cycle_barrier,regular
110524938,highway,traffic_signals,regular
110524938,traffic_signals,signal,regular
110525128,barrier,gate,regular
110526643,barrier,gate,regular
110529362,highway,turning_circle,regular
110529768,highway,turning_circle,regular
110532306,highway,turning_circle,regular
110532764,highway,turning_circle,regular
110535279,source,Yahoo,regular
110535279,highway,traffic_signals,regular
110535290,ref,1D,regular
110535290,highway,motorway_junction,regular
110535352,ref,2,regular
110535352,highway,motorway_junction,regular
110535842,highway,turning_circle,regular
110535872,highway,turning_circle,regular
110535880,highway,turning_circle,regular
110536007,highway,traffic_signals,regular
110536029,highway,traffic_signals,regular
110536029,traffic_signals,signal,regular
110536032,highway,traffic_signals,regular
110536110,source,Bing,regular
